Station_ID,Year,Month,D-Aver_M-Aver,D-Max_M-Aver,D-Min_M-Aver,M_Max,M-Max_Date,M_Min,M-Min_Date
YGA,1998,1,null,null,null,24.0 ,31 ,-2.8 ,28 
YGA,1998,2,9.4 ,19.1 ,4.3 ,29.7 ,11 ,-1.5 ,8 
YGA,1998,3,13.3 ,25.6 ,7.0 ,46.5 ,29 ,1.4 ,22 
YGA,1998,4,25.5 ,45.6 ,14.0 ,54.8 ,21 ,7.4 ,12 
YGA,1998,5,23.0 ,33.8 ,17.1 ,48.5 ,18 ,11.9 ,25 
YGA,1998,6,26.1 ,36.6 ,20.2 ,53.5 ,21 ,14.1 ,4 
YGA,1998,7,28.9 ,39.4 ,23.2 ,54.8 ,29 ,19.9 ,7 
YGA,1998,8,27.3 ,36.8 ,22.6 ,48.8 ,3 ,19.3 ,29 
YGA,1998,9,24.9 ,36.0 ,19.3 ,49.2 ,14 ,14.2 ,20 
YGA,1998,10,19.7 ,30.1 ,14.8 ,40.9 ,1 ,11.3 ,15 
YGA,1998,11,14.9 ,26.1 ,9.6 ,36.7 ,8 ,4.1 ,28 
YGA,1998,12,8.5 ,15.7 ,4.4 ,25.3 ,3 ,1.2 ,19 
YGA,1999,1,6.7 ,17.6 ,1.5 ,26.2 ,27 ,-2.2 ,17 
YGA,1999,2,10.2 ,21.7 ,4.2 ,36.2 ,26 ,-1.7 ,3 
YGA,1999,3,12.9 ,23.8 ,7.5 ,40.0 ,16 ,3.6 ,1 
YGA,1999,4,18.8 ,30.1 ,13.1 ,46.7 ,21 ,8.4 ,6 
YGA,1999,5,22.9 ,35.7 ,16.0 ,49.7 ,27 ,10.9 ,4 
YGA,1999,6,25.0 ,33.9 ,20.6 ,46.5 ,19 ,17.2 ,23 
YGA,1999,7,28.2 ,39.5 ,22.5 ,51.3 ,11 ,19.8 ,17 
YGA,1999,8,30.3 ,46.8 ,22.4 ,57.1 ,18 ,17.8 ,22 
YGA,1999,9,26.1 ,38.7 ,19.8 ,58.9 ,10 ,16.5 ,19 
YGA,1999,10,18.3 ,25.6 ,15.1 ,34.0 ,1 ,9.4 ,31 
YGA,1999,11,13.0 ,19.4 ,9.4 ,27.9 ,1 ,1.8 ,28 
YGA,1999,12,6.6 ,14.6 ,2.8 ,21.5 ,8 ,-1.2 ,24 
YGA,2000,1,6.1 ,11.3 ,3.3 ,19.0 ,17 ,-0.6 ,19 
YGA,2000,2,8.3 ,18.1 ,3.4 ,30.8 ,26 ,0.4 ,7 
YGA,2000,3,14.0 ,25.9 ,7.9 ,44.5 ,28 ,4.7 ,1 
YGA,2000,4,18.9 ,30.4 ,12.4 ,48.6 ,22 ,5.7 ,15 
YGA,2000,5,27.5 ,46.9 ,15.7 ,58.7 ,21 ,11.1 ,2 
YGA,2000,6,26.3 ,38.2 ,20.2 ,56.8 ,16 ,14.6 ,15 
YGA,2000,7,30.8 ,44.1 ,23.6 ,60.5 ,24 ,20.1 ,31 
YGA,2000,8,27.6 ,38.6 ,21.8 ,54.0 ,31 ,18.8 ,30 
YGA,2000,9,23.8 ,33.0 ,18.9 ,56.5 ,3 ,16.2 ,7 
YGA,2000,10,18.5 ,25.6 ,15.1 ,36.0 ,6 ,6.5 ,31 
YGA,2000,11,11.3 ,19.0 ,7.4 ,33.9 ,4 ,0.8 ,21 
YGA,2000,12,7.5 ,15.6 ,3.4 ,22.3 ,30 ,-0.7 ,4 
YGA,2001,1,6.7 ,15.6 ,2.0 ,23.9 ,20 ,-1.8 ,10 
YGA,2001,2,10.4 ,22.4 ,4.7 ,35.9 ,23 ,-0.9 ,14 
YGA,2001,3,17.1 ,35.5 ,8.0 ,50.9 ,30 ,2.5 ,4 
YGA,2001,4,18.6 ,32.6 ,11.4 ,50.2 ,18 ,3.1 ,11 
YGA,2001,5,25.8 ,44.2 ,15.6 ,59.3 ,22 ,10.5 ,2 
YGA,2001,6,28.0 ,43.4 ,19.8 ,60.1 ,18 ,16.6 ,4 
YGA,2001,7,35.0 ,56.1 ,23.3 ,68.2 ,21 ,19.6 ,1 
YGA,2001,8,27.9 ,41.2 ,21.3 ,62.6 ,15 ,17.1 ,19 
YGA,2001,9,21.9 ,28.0 ,19.0 ,39.0 ,4 ,16.9 ,25 
YGA,2001,10,19.3 ,28.3 ,14.9 ,37.5 ,28 ,11.4 ,29 
YGA,2001,11,13.2 ,20.8 ,9.1 ,28.9 ,5 ,3.7 ,26 
YGA,2001,12,6.8 ,15.6 ,2.3 ,24.2 ,3 ,-2.7 ,22 
YGA,2002,1,6.5 ,12.8 ,3.3 ,19.9 ,3 ,-1.2 ,21 
YGA,2002,2,10.7 ,21.3 ,5.7 ,30.8 ,17 ,1.2 ,28 
YGA,2002,3,16.6 ,32.8 ,8.2 ,45.5 ,31 ,1.8 ,5 
YGA,2002,4,20.0 ,36.3 ,11.6 ,50.7 ,14 ,7.3 ,11 
YGA,2002,5,23.3 ,36.9 ,16.0 ,55.0 ,30 ,9.9 ,6 
YGA,2002,6,27.7 ,40.0 ,21.2 ,57.1 ,30 ,16.6 ,2 
YGA,2002,7,32.2 ,49.8 ,22.7 ,68.8 ,18 ,19.2 ,26 
YGA,2002,8,29.5 ,45.1 ,21.5 ,62.7 ,5 ,18.5 ,10 
YGA,2002,9,26.8 ,44.8 ,17.6 ,58.7 ,3 ,11.3 ,15 
YGA,2002,10,20.3 ,34.3 ,13.1 ,54.0 ,6 ,7.4 ,23 
YGA,2002,11,13.1 ,22.9 ,8.1 ,34.3 ,3 ,4.3 ,25 
YGA,2002,12,7.1 ,13.2 ,3.8 ,23.5 ,5 ,-2.5 ,31 
YGA,2003,1,6.6 ,16.9 ,1.6 ,28.4 ,22 ,-3.6 ,27 
YGA,2003,2,11.3 ,25.2 ,4.9 ,40.1 ,23 ,-0.8 ,1 
YGA,2003,3,15.1 ,30.7 ,7.3 ,50.9 ,29 ,-0.2 ,6 
YGA,2003,4,20.4 ,36.7 ,11.8 ,56.5 ,30 ,4.9 ,7 
YGA,2003,5,24.1 ,37.6 ,16.9 ,54.3 ,14 ,10.6 ,1 
YGA,2003,6,27.3 ,41.6 ,19.2 ,56.4 ,18 ,11.2 ,11 
YGA,2003,7,29.0 ,41.8 ,22.7 ,60.3 ,21 ,19.3 ,4 
YGA,2003,8,28.0 ,40.0 ,22.2 ,58.0 ,25 ,16.9 ,16 
YGA,2003,9,23.6 ,34.0 ,18.4 ,49.7 ,24 ,14.7 ,4 
YGA,2003,10,17.5 ,25.2 ,13.9 ,35.5 ,30 ,11.3 ,16 
YGA,2003,11,12.5 ,20.5 ,8.2 ,34.9 ,2 ,-0.2 ,29 
YGA,2003,12,7.6 ,14.7 ,4.0 ,23.4 ,26 ,-2.8 ,26 
YGA,2004,1,6.6 ,15.1 ,2.5 ,22.4 ,5 ,-2.2 ,24 
YGA,2004,2,9.6 ,21.1 ,4.1 ,36.6 ,28 ,0.2 ,10 
YGA,2004,3,13.8 ,23.8 ,8.4 ,40.3 ,16 ,0.3 ,4 
YGA,2004,4,21.0 ,37.7 ,12.0 ,54.3 ,22 ,5.8 ,15 
YGA,2004,5,22.2 ,null,null,57.3 ,21 ,11.7 ,17 
YGA,2004,6,25.1 ,37.1 ,19.1 ,58.7 ,25 ,16.5 ,21 
YGA,2004,7,31.4 ,50.6 ,21.5 ,66.1 ,11 ,18.5 ,11 
YGA,2004,8,28.6 ,41.4 ,22.4 ,60.0 ,10 ,19.6 ,30 
YGA,2004,9,23.8 ,34.5 ,18.9 ,51.3 ,16 ,14.7 ,30 
YGA,2004,10,17.1 ,25.4 ,13.0 ,36.1 ,17 ,10.8 ,31 
YGA,2004,11,10.2 ,20.1 ,9.0 ,28.3 ,4 ,2.4 ,28 
YGA,2004,12,8.4 ,13.8 ,5.3 ,22.8 ,3 ,-2.3 ,31 
YGA,2005,1,5.8 ,12.0 ,2.5 ,19.1 ,13 ,-2.5 ,2 
YGA,2005,2,7.4 ,13.1 ,4.3 ,20.5 ,10 ,0.2 ,10 
YGA,2005,3,13.7 ,23.4 ,8.3 ,36.1 ,21 ,2.1 ,6 
YGA,2005,4,22.3 ,34.7 ,13.3 ,49.6 ,29 ,5.6 ,13 
YGA,2005,5,23.8 ,35.4 ,17.9 ,48.9 ,1 ,12.4 ,6 
YGA,2005,6,28.2 ,40.5 ,21.0 ,54.2 ,13 ,16.6 ,1 
YGA,2005,7,29.3 ,40.2 ,23.3 ,55.9 ,13 ,21.1 ,13 
YGA,2005,8,25.5 ,32.7 ,21.7 ,44.9 ,24 ,18.1 ,20 
YGA,2005,9,26.5 ,39.6 ,19.7 ,54.7 ,17 ,14.1 ,17 
YGA,2005,10,17.6 ,25.0 ,14.0 ,35.5 ,15 ,7.8 ,29 
YGA,2005,11,13.0 ,20.5 ,9.4 ,35.1 ,6 ,0.9 ,29 
YGA,2005,12,6.5 ,12.3 ,3.5 ,19.5 ,9 ,-2.1 ,22 
YGA,2006,1,6.6 ,13.7 ,3.1 ,25.6 ,31 ,-1.5 ,9 
YGA,2006,2,8.4 ,14.5 ,4.9 ,27.6 ,13 ,0.0 ,17 
YGA,2006,3,13.9 ,25.3 ,7.5 ,38.5 ,31 ,0.7 ,13 
YGA,2006,4,21.8 ,39.8 ,12.0 ,56.2 ,29 ,5.4 ,16 
YGA,2006,5,26.1 ,42.8 ,16.5 ,58.8 ,1 ,11.5 ,15 
YGA,2006,6,28.7 ,44.5 ,20.1 ,62.7 ,17 ,16.5 ,1 
YGA,2006,7,33.2 ,49.0 ,24.8 ,61.2 ,17 ,21.6 ,24 
YGA,2006,8,33.7 ,50.9 ,24.0 ,65.1 ,11 ,20.2 ,24 
YGA,2006,9,22.7 ,30.8 ,18.8 ,48.3 ,1 ,15.9 ,29 
YGA,2006,10,20.5 ,30.5 ,15.6 ,42.0 ,14 ,10.8 ,26 
YGA,2006,11,14.6 ,23.2 ,10.4 ,36.5 ,10 ,5.3 ,30 
YGA,2006,12,7.9 ,15.8 ,3.9 ,25.5 ,13 ,-1.1 ,14 
YGA,2007,1,6.8 ,16.2 ,2.3 ,31.9 ,31 ,-1.1 ,28 
YGA,2007,2,12.3 ,25.4 ,5.6 ,41.6 ,24 ,-1.5 ,2 
YGA,2007,3,15.1 ,28.8 ,8.5 ,50.9 ,30 ,2.4 ,4 
YGA,2007,4,19.7 ,34.0 ,12.1 ,57.7 ,19 ,4.5 ,5 
YGA,2007,5,28.1 ,47.4 ,17.3 ,59.9 ,26 ,11.8 ,4 
YGA,2007,6,27.4 ,40.5 ,20.1 ,62.8 ,5 ,16.8 ,4 
YGA,2007,7,29.4 ,42.7 ,22.8 ,65.0 ,14 ,18.7 ,13 
